src/node_monitor.pb.h:484:  private: should be indented +1 space inside class ActorInfo  [whitespace/indent] [3]
src/node_monitor.pb.h:491:  public: should be indented +1 space inside class ActorInfo  [whitespace/indent] [3]
src/node_monitor.pb.h:492:  Do not leave a blank line after "public:"  [whitespace/blank_line] [3]
src/node_monitor.pb.h:494:  private: should be indented +1 space inside class ActorInfo  [whitespace/indent] [3]
src/node_monitor.pb.h:496:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
src/node_monitor.pb.h:497:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
src/node_monitor.pb.h:500:  public: should be indented +1 space inside class ActorInfo  [whitespace/indent] [3]
src/node_monitor.pb.h:501:  Do not leave a blank line after "public:"  [whitespace/blank_line] [3]
src/node_monitor.pb.h:542:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
src/node_monitor.pb.h:552:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
src/node_monitor.pb.h:621:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
src/node_monitor.pb.h:632:  private: should be indented +1 space inside class ActorStatus  [whitespace/indent] [3]
src/node_monitor.pb.h:641:  private: should be indented +1 space inside class ActorStatus  [whitespace/indent] [3]
src/node_monitor.pb.h:648:  public: should be indented +1 space inside class ActorStatus  [whitespace/indent] [3]
src/node_monitor.pb.h:649:  Do not leave a blank line after "public:"  [whitespace/blank_line] [3]
src/node_monitor.pb.h:651:  private: should be indented +1 space inside class ActorStatus  [whitespace/indent] [3]
src/node_monitor.pb.h:653:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
src/node_monitor.pb.h:654:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
src/node_monitor.pb.h:657:  public: should be indented +1 space inside class ActorStatus  [whitespace/indent] [3]
src/node_monitor.pb.h:658:  Do not leave a blank line after "public:"  [whitespace/blank_line] [3]
src/node_monitor.pb.h:711:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
src/node_monitor.pb.h:739:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
src/node_monitor.pb.h:739:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
src/node_monitor.pb.h:753:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
src/node_monitor.pb.h:753:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
src/node_monitor.pb.h:767:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
src/node_monitor.pb.h:767:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
src/node_monitor.pb.h:781:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
src/node_monitor.pb.h:781:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
src/node_monitor.pb.h:788:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
src/node_monitor.pb.h:795:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
src/node_monitor.pb.h:795:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
src/node_monitor.pb.h:796:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
